NOM,Prénom,Email,Mot de passe,Classe
OX,Max,588@toto.com,,6 C
OX,Maxence,589@toto.com,,4 E
OX,Maxence,590@toto.com,,5 B
OYIR,Maxime,591@toto.com,,3G
OZETS,Maxime,592@toto.com,,3G
OZIT,Maxime,593@toto.com,,3A
OZTIGOI,Maxime,594@toto.com,,3 E
PEDETO,Maxime,595@toto.com,,5 D
PIES,Maxine,596@toto.com,,4 F
PIES,May-Line,597@toto.com,,4 D
PIN,Médina,598@toto.com,,4 F
PIRT,Mehdi,599@toto.com,,"0,1666666667"
PIS,Mélissa,600@toto.com,,6 E
PIS,Michel,601@toto.com,,6 F
PITEL,Miguel,602@toto.com,,4 B
PLET,Mikel,603@toto.com,,4 G
PLI,Mikel,604@toto.com,,6 D
POIS,Mila,605@toto.com,,6 D
PONT-CHINI,Milène,606@toto.com,,4 G
POORTIR,Minna,607@toto.com,,"0,2083333333"
POOY,Moncéf,608@toto.com,,6 D
PPIRON,Morgan,609@toto.com,,4 G
R,Morgane,610@toto.com,,4 B
R,Morgane,611@toto.com,,6 C
RBI,Morgane,612@toto.com,,3G
RBIEOX,Morgane,613@toto.com,,5 E
RBIIR,Morgane,614@toto.com,,5 F
RBIN,Morgane,615@toto.com,,3A
RBIN,Naela,616@toto.com,,6 F
RBLEDI,Nahia,617@toto.com,,3 B
RBONNIT,Nahia,618@toto.com,,5 E
RBOSE PIRIIRE,Nahuel,619@toto.com,,5 L
RBREOD,Naia,620@toto.com,,4 G
RCHI DI KIYSIR,Naïa,621@toto.com,,6 F
RCHIONI,Naïa,622@toto.com,,4 C
RCHON,Naïs,623@toto.com,,6 C
RCIE,Naomi,624@toto.com,,5 B
RCIE,Naomi,625@toto.com,,3 L
RCIIR,Nathan,626@toto.com,,5 G
RCIL,Nawel,627@toto.com,,"0,25"
RCIRE,Neigeline,628@toto.com,,3A
RCOLLIT,Neji,629@toto.com,,5 L
RCOLLIT,Névèn,630@toto.com,,6 F
RDECHER,Nicolas,631@toto.com,,3 C
RDELLI GELLIENO,Nicolas,632@toto.com,,3 C
RDEN,Nicolas,633@toto.com,,4 E
RDETO,Nikolas,634@toto.com,,4 D
RDIN,Nils,635@toto.com,,6 E
RDIVET,Nina,636@toto.com,,"0,2083333333"
RDOBE,Nino,637@toto.com,,3 D
RECOTCHI,Nino,638@toto.com,,5 E
REL,Noa,639@toto.com,,6 L
REMBOORI,Noa,640@toto.com,,5 C
REMIL,Noa,641@toto.com,,3 D
REN,Noah,642@toto.com,,3 E
REO,Noelly,643@toto.com,,"0,25"
REOD,Noemie,644@toto.com,,3G
RETIGOI,Noémie,645@toto.com,,5 D
RGIT,Nolwenn,646@toto.com,,"0,2083333333"
RGOIRITTI,Norah,647@toto.com,,3 D
RGOIS,Noriane,648@toto.com,,3G
RGOS CISPIDIS,Océane,649@toto.com,,3 C
RGOY,Ohiana,650@toto.com,,4 G
RHO,Oihan,651@toto.com,,4 G
RI,Oihan,652@toto.com,,4 C
RI,Oihan,653@toto.com,,"0,2083333333"
RIBERNI,Oihan,654@toto.com,,3 C
RIERT,Oihan,655@toto.com,,6 C
RIERT DORROTHY,Oihan,656@toto.com,,3 D
RIGON,Oihana,657@toto.com,,"0,2083333333"
RIGOYIN,Oihana,658@toto.com,,"0,2083333333"
RIGOYIN,Oihana,659@toto.com,,3 D
RIILLI,Oihana,660@toto.com,,4 E
RI-LEGERISTI,Olivia,661@toto.com,,4 F
RIM I SOOSE,Olivier,662@toto.com,,5 F
RIM I SOOSE,Oscar,663@toto.com,,6 F
RIN,Oscar,664@toto.com,,3 F
RINGIR,Oscar,665@toto.com,,5 C
RINIT-RODRIGOIZ,Othmane,666@toto.com,,5 F
RINIT-RODRIGOIZ,Pablo,667@toto.com,,4 D
RINO,Pablo,668@toto.com,,3 C
RISSIIR,Paco,669@toto.com,,5 D
RISSON,Paloma,670@toto.com,,3 E
RISSON,Pantxika,671@toto.com,,3A
RITTI,Paola,672@toto.com,,"0,25"
RIZ,Pascal,673@toto.com,,3 D
RLIN-SEKEMOTO,Patxi,674@toto.com,,4 E
RMENO,Patxi,675@toto.com,,5 G
RNERD,Patxi,676@toto.com,,6 B
RNICKIR,Paul,677@toto.com,,4 F
RNII,Paul,678@toto.com,,3 C
RONNY,Paul,679@toto.com,,3G
ROO,Paul,680@toto.com,,6 F
ROOX,Paul,681@toto.com,,"0,25"
ROSINSKI-CESTY,Paul,682@toto.com,,4 D
ROSSEGEREY,Paul,683@toto.com,,6 D
ROT,Pauline,684@toto.com,,4 C
ROTCERINI,Pauline,685@toto.com,,"0,2083333333"
ROTCHIT,Pédro,686@toto.com,,4 G
ROTCHIT,Peio,687@toto.com,,"0,2083333333"
ROTIE,Peio,688@toto.com,,4 F
ROTIE,Pierre,689@toto.com,,4 F
ROTIE,Pierre Antoine,690@toto.com,,3 B
RR,Pierre-Esteban,691@toto.com,,"0,25"
RRECCI,Quentin,692@toto.com,,6 F
RREILH,Quentin,693@toto.com,,4 L
RREMINDY,Quentin,694@toto.com,,5 F
RRIBIY - POOJOL,Rafaël,695@toto.com,,3 F
RRIC,Ramuntxo,696@toto.com,,3A
RRIGOIS,Raphaël,697@toto.com,,4 F
RRIIO,Raphaël,698@toto.com,,3 E
RRIIOX JOSON,Rayan,699@toto.com,,3 L
RRINILLO,Rayhan,700@toto.com,,5 L
RRIRO CHECON,Rebecca,701@toto.com,,5 C
RRIS,Remy,702@toto.com,,4 F
RRIS,Remy,703@toto.com,,5 E
RRITCHON,René-Lucas,704@toto.com,,6 D
RRIY,Ricardo,705@toto.com,,3 E
RROE,Robin,706@toto.com,,6 C
RROE,Robin,707@toto.com,,"0,25"
RROOIT,Romain,708@toto.com,,"0,2083333333"
RSENS,Romain,709@toto.com,,6 F
RTHEBORO-CENIROT,Romain,710@toto.com,,4 E
RTHILIMY,Romain,711@toto.com,,5 E
RTHILOT,Romain,712@toto.com,,3A
RTHILOT,Romain,713@toto.com,,6 B
RTI,Romane,714@toto.com,,5 F
RTI,Romane,715@toto.com,,5 B
RTIEL,Romeo,716@toto.com,,5 C
RTIEO,Roméo,717@toto.com,,3 E
RTIGEO,Romuald,718@toto.com,,3G
RTIGOI,Ruben,719@toto.com,,6 F
RTIL,Ruben,720@toto.com,,5 B
RTILLIT,Rubine,721@toto.com,,6 B
RTIN,Sabrina,722@toto.com,,6 L
RTINIZ,Sacha,723@toto.com,,5 L
RTONI CORROY,Sacha,724@toto.com,,4 E
RVERIC,Sacha,725@toto.com,,"0,2083333333"
RVOOT,Salim,726@toto.com,,6 D
RZOOK,Salomé,727@toto.com,,5 D
S,Samuel,728@toto.com,,3G
S,Samuel,729@toto.com,,6 C
S SENTOS PEOLINO,Sarah,730@toto.com,,5 F
SCOOEO,Sarah,731@toto.com,,6 E
SCOOTI,Sarah,732@toto.com,,6 L
SCOSSI,Sara-Lou,733@toto.com,,6 E
SE,Savannah,734@toto.com,,3A
SEE,Selene,735@toto.com,,3 F
SEEDI,Selma,736@toto.com,,4 D
SELIS,Séphir,737@toto.com,,5 L
SELIS,Serigne,738@toto.com,,3 F
SGA,Shaïlie,739@toto.com,,6 D
SILVE CEMPOS,Shaima,740@toto.com,,3 B
SJERDINS,Shaina,741@toto.com,,5 C
SKEYIV,Shaïna,742@toto.com,,3 C
SKEYIV,Shan,743@toto.com,,5 C
SON,Sibylle,744@toto.com,,5 E
SPIS,Simon,745@toto.com,,5 F
SPRIES,Sokhna,746@toto.com,,4 C
SSEING,Solal,747@toto.com,,5 E
SSEING,Solène,748@toto.com,,"0,2083333333"
SSEINT,Solenn,749@toto.com,,4 E
SSENI-DIES,Souane,750@toto.com,,4 F
SSERREGOI,Stany,751@toto.com,,5 E
SSIF,Stella,752@toto.com,,5 E
SSIL,Sulaymân,753@toto.com,,3G
SSIL,Swann,754@toto.com,,4 B
SSIN,Tahina,755@toto.com,,4 D
SSINGO--HOMBIL,Taina,756@toto.com,,3A
SSON,Taïs,757@toto.com,,4 L
SSON-ENTEKI,Tess,758@toto.com,,5 L
STE FORTONE,Théo,759@toto.com,,6 D
STET PICERD,Théo,760@toto.com,,"0,2083333333"
STIDI,Théo,761@toto.com,,3 L
STIINS,Théo,762@toto.com,,4 G
STRIBETS,Thibaud,763@toto.com,,6 B
STRIC,Thibault,764@toto.com,,4 E
T,Thibault,765@toto.com,,6 B
TE,Thibaut,766@toto.com,,3A
TECHIT,Thomas,767@toto.com,,5 D
TEYNOO,Thomas,768@toto.com,,6 F
TFOORT,Thomas,769@toto.com,,6 L
THIS,Thomas,770@toto.com,,4 F
THIS,Thomas,771@toto.com,,4 E
THIY,Thomas,772@toto.com,,3 C
THOIT,Tiare,773@toto.com,,"0,2083333333"
TIILLO,Tilio,774@toto.com,,3 F
TIOT,Timotéo,775@toto.com,,3 F
TIT,Titouan,776@toto.com,,3 D
TIZ,Tom,777@toto.com,,"0,2083333333"
TIZ OCEMPO,Tom,778@toto.com,,5 B
TIZBIRIE,Tom,779@toto.com,,3G
TOHI ENDIEZEBEL,Trystan,780@toto.com,,3 B
TONIO,Turpal,781@toto.com,,5 B
TOORNIS YIRME,Txomin,782@toto.com,,5 F
TOT-ELBIRT,Ugo,783@toto.com,,3 F
TRI,Unai,784@toto.com,,6 C
TRII,Unai,785@toto.com,,5 G
TRIM,Unaï,786@toto.com,,4 D
TSEBY,Usho,787@toto.com,,"0,1666666667"
TTENIO,Valentin,788@toto.com,,6 E
TXEGOI,Valentin,789@toto.com,,4 E
VERRI,Victoire,790@toto.com,,3 D
VIGNIEO,Victor,791@toto.com,,5 F
VIIR,Victor,792@toto.com,,4 L
VIIRI,Victor,793@toto.com,,5 G
VILE EGOIRRI,Vincent,794@toto.com,,6 D
VIL-MORTIEOX,Vincent,795@toto.com,,4 L
VIN,Violette,796@toto.com,,3G
VIS DI OLIVIRE,Winkler,797@toto.com,,4 E
VIT,Xabi,798@toto.com,,5 E
VIT,Xabi,799@toto.com,,3A
VOIGNEC,Xan,800@toto.com,,"0,25"
VY,Xan,801@toto.com,,3 F
VY,Xana,802@toto.com,,5 C
YI,Xani,803@toto.com,,3A
YI,Xanti,804@toto.com,,"0,25"
YIT,Xilban,805@toto.com,,"0,25"
YLI,Yamine,806@toto.com,,6 E
YLIS,Yan,807@toto.com,,4 C
YOT,Yanis,808@toto.com,,4 C
YOT DRON,Yannis,809@toto.com,,5 F
YS,Yoann,810@toto.com,,5 D
YSSIIR,Yohan,811@toto.com,,6 B
YSSIT,Yon,812@toto.com,,6 E
YTY,Younes,813@toto.com,,5 F
ZENNI,Yuri,814@toto.com,,5 D
ZINEVI,Yvan,815@toto.com,,3 F
ZIOR,Zia,816@toto.com,,4 F
ZMENOWSKI,Zoé,817@toto.com,,5 C
ZMENOWSKI,Zoé,818@toto.com,,4 E
,Zoé,819@toto.com,,6 E
